place,movie_title,rating,year,star_cast
112,To Kill a Mockingbird,8.22496134230904,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
113,The Sting,8.224069643679327,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
114,Jodaeiye Nader az Simin,8.221733545684462,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
115,Metropolis,8.219497132501965,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
116,LA Confidential,8.216516212868262,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
117,Die Hard,8.216476616133983,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
118,Indiana Jones and the Last Crusade,8.216054208402047,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
119,Snatch,8.215387153257188,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
120,Ladri di biciclette,8.215167735224606,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121,Taxi Driver,8.215112544052687,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
122,Taare Zameen Par,8.2145901339827,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
123,1917,8.21085243272015,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
124,Dangal,8.202805579600705,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
125,Der Untergang,8.202286712796395,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
126,Top Gun: Maverick,8.200800644324955,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
127,Per qualche dollaro in più,8.196764722335073,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
128,Batman Begins,8.19574318705034,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
129,The Kid,8.190325938084342,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
